iso,iso_countryname,IAM_countryname,IAM_country,Regional.Definition,AIM.CGE,GCAM,IMAGE,MESSAGE.GLOBIOM,ReMIND.MAGPIE,WITCH.GLOBIOM,CEDS_final_data,CEDS_countryname
abw,Aruba,ARUBA,1,LAM,LAM,LAM,LAM,n/a,n/a,LAM,1,Aruba
afg,Afghanistan,AFGANISTAN,1,ASIA,ASIA,ASIA,ASIA,ASIA,ASIA,ASIA,1,Afghanistan
ago,Angola,ANGOLA,1,MAF,MAF,MAF,MAF,MAF,MAF,MAF,1,Angola
alb,Albania,ALBANIA,1,OECD,OECD,OECD,OECD,OECD,OECD,REF,1,Albania
ant,Netherlands Antilles,NETHERLANDS ANTILLES,1,LAM,LAM,LAM,LAM,LAM,n/a,LAM,0,Netherlands Antilles
are,United Arab Emirates,UNITED ARAB EMIRATES,1,MAF,MAF,MAF,MAF,MAF,MAF,MAF,1,United Arab Emirates
arg,Argentina,ARGENTINA,1,LAM,LAM,LAM,LAM,LAM,LAM,LAM,1,Argentina
arm,Armenia,ARMENIA,1,REF,REF,ASIA,REF,REF,MAF,REF,1,Armenia
asm,American Samoa,NA,0,NA,NA,NA,NA,NA,NA,NA,1,American Samoa
atg,Antigua and Barbuda,ANTIGUA AND BARBUDA,1,LAM,LAM,LAM,LAM,LAM,LAM,LAM,1,Antigua and Barbuda
aus,Australia,AUSTRALIA,1,OECD,OECD,OECD,OECD,OECD,OECD,OECD,1,Australia
aut,Austria,AUSTRIA,1,OECD,OECD,OECD,OECD,OECD,OECD,OECD,1,Austria
aze,Azerbaijan,AZERBAIJAN,1,REF,REF,ASIA,REF,REF,MAF,REF,1,Azerbaijan
bdi,Burundi,BURUNDI,1,MAF,MAF,MAF,MAF,MAF,MAF,MAF,1,Burundi
bel,Belgium,BELGIUM,1,OECD,OECD,OECD,OECD,OECD,OECD,OECD,1,Belgium
ben,Benin,BENIN,1,MAF,MAF,MAF,MAF,MAF,MAF,MAF,1,Benin
bfa,Burkina Faso,BURKINA FASO,1,MAF,MAF,MAF,MAF,MAF,MAF,MAF,1,Burkina Faso
bgd,Bangladesh,BANGLADESH,1,ASIA,ASIA,ASIA,ASIA,ASIA,ASIA,ASIA,1,Bangladesh
bgr,Bulgaria,BULGARIA,1,OECD,OECD,OECD,OECD,OECD,OECD,OECD,1,Bulgaria
bhr,Bahrain,BAHRAIN,1,MAF,MAF,MAF,MAF,MAF,MAF,MAF,1,Bahrain
bhs,Bahamas,BAHAMAS,1,LAM,LAM,LAM,LAM,LAM,LAM,LAM,1,Bahamas
bih,Bosnia and Herzegovina,BOSNIA AND HERZEGOVINA,1,OECD,OECD,OECD,OECD,OECD,OECD,REF,1,Bosnia and Herzegovina
blr,Belarus,BELARUS,1,REF,REF,OECD,REF,REF,OECD,REF,1,Belarus
blx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Belgium-Luxembourg 
blz,Belize,BELIZE,1,LAM,LAM,LAM,LAM,LAM,LAM,LAM,1,Belize
bmu,Bermuda,BERMUDA,1,LAM,LAM,LAM,LAM,LAM,LAM,OECD,1,Bermuda
bol,Bolivia (Plurinational State of),BOLIVIA,1,LAM,LAM,LAM,LAM,LAM,LAM,LAM,1,Bolivia
bra,Brazil,BRAZIL,1,LAM,LAM,LAM,LAM,LAM,LAM,LAM,1,Brazil
brb,Barbados,BARBADOS,1,LAM,LAM,LAM,LAM,LAM,LAM,LAM,1,Barbados
brn,Brunei Darussalam,BRUNEI DARUSSALAM,1,ASIA,ASIA,ASIA,ASIA,ASIA,ASIA,ASIA,1,Brunei Darussalam
btn,Bhutan,BHUTAN,1,ASIA,ASIA,ASIA,ASIA,ASIA,ASIA,ASIA,1,Bhutan
bwa,Botswana,BOTSWANA,1,MAF,MAF,MAF,MAF,MAF,MAF,MAF,1,Botswana
caf,Central African Republic,CENTRAL AFRICAN REPUBLIC,1,MAF,MAF,MAF,MAF,MAF,MAF,MAF,1,Central African Republic
can,Canada,CANADA,1,OECD,OECD,OECD,OECD,OECD,OECD,OECD,1,Canada
che,Switzerland,SWITZERLAND,1,OECD,OECD,OECD,OECD,OECD,OECD,OECD,1,Switzerland
chl,Chile,CHILE,1,LAM,LAM,LAM,LAM,LAM,LAM,LAM,1,Chile
chn,China,CHINA,1,ASIA,ASIA,ASIA,ASIA,ASIA,ASIA,ASIA,1,China
civ,Côte d`Ivoire,CÔTE D'IVOIRE,1,MAF,MAF,MAF,MAF,MAF,MAF,MAF,1,Cote dIvoire
cmr,Cameroon,CAMEROON,1,MAF,MAF,MAF,MAF,MAF,MAF,MAF,1,Cameroon
cod,Democratic Republic of the Congo,"CONGO, THE DEMOCRATIC REPUBLIC OF THE",1,MAF,MAF,MAF,MAF,MAF,MAF,MAF,1,Democratic Republic of Congo
cog,Congo,CONGO,1,MAF,MAF,MAF,MAF,MAF,MAF,MAF,1,Congo
cok,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Cook Islands
col,Colombia,COLOMBIA,1,LAM,LAM,LAM,LAM,LAM,LAM,LAM,1,Colombia
com,Comoros,COMOROS,1,MAF,MAF,MAF,MAF,MAF,MAF,MAF,1,Comoros
cpv,Cape Verde,CAPE VERDE,1,MAF,MAF,MAF,MAF,MAF,MAF,MAF,1,Cape Verde
cri,Costa Rica,COSTA RICA,1,LAM,LAM,LAM,LAM,LAM,LAM,LAM,1,Costa Rica
csk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Czechoslovakia
cub,Cuba,CUBA,1,LAM,LAM,LAM,LAM,LAM,LAM,LAM,1,Cuba
cuw,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Curacao
cym,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Cayman Islands
cyp,Cyprus,CYPRUS,1,OECD,OECD,OECD,OECD,OECD,OECD,OECD,1,Cyprus
cze,Czech Republic,CZECH REPUBLIC,1,OECD,OECD,OECD,OECD,OECD,OECD,OECD,1,Czech Republic
deu,Germany,GERMANY,1,OECD,OECD,OECD,OECD,OECD,OECD,OECD,1,Germany
dji,Djibouti,DJIBOUTI,1,MAF,MAF,MAF,MAF,MAF,MAF,MAF,1,Djibouti
dma,Dominica,NA,0,NA,NA,NA,NA,NA,NA,NA,1,Dominica
dnk,Denmark,DENMARK,1,OECD,OECD,OECD,OECD,OECD,OECD,OECD,1,Denmark
dom,Dominican Republic,DOMINICAN REPUBLIC,1,LAM,LAM,LAM,LAM,LAM,LAM,LAM,1,Dominican Republic
dza,Algeria,ALGERIA,1,MAF,MAF,MAF,MAF,MAF,MAF,MAF,1,Algeria
ecu,Ecuador,ECUADOR,1,LAM,LAM,LAM,LAM,LAM,LAM,LAM,1,Ecuador
egy,Egypt,EGYPT,1,MAF,MAF,MAF,MAF,MAF,MAF,MAF,1,Egypt
eri,Eritrea,ERITREA,1,MAF,MAF,MAF,MAF,MAF,MAF,MAF,1,Eritrea
esh,Western Sahara,WESTERN SAHARA,1,MAF,MAF,MAF,MAF,MAF,MAF,MAF,1,Western Sahara
esp,Spain,SPAIN,1,OECD,OECD,OECD,OECD,OECD,OECD,OECD,1,Spain
est,Estonia,ESTONIA,1,OECD,OECD,OECD,OECD,OECD,OECD,OECD,1,Estonia
eth,Ethiopia,ETHIOPIA,1,MAF,MAF,MAF,MAF,MAF,MAF,MAF,1,Ethiopia
fin,Finland,FINLAND,1,OECD,OECD,OECD,OECD,OECD,OECD,OECD,1,Finland
fji,Fiji,FIJI,1,ASIA,ASIA,ASIA,ASIA,ASIA,ASIA,ASIA,1,Fiji
flk,NA,FALKLANDS ISLANDS (MALVINAS),1,LAM,LAM,OECD,LAM,LAM,n/a,LAM,1,Falkland Islands
fra,France,FRANCE,1,OECD,OECD,OECD,OECD,OECD,OECD,OECD,1,France
fro,NA,FAROE ISLANDS,1,OECD,OECD,OECD,OECD,OECD,n/a,OECD,1,Faeroe Islands
fsm,"Micronesia, Federated States of","MICRONESIA, FEDERATED STATES OF",1,ASIA,ASIA,ASIA,ASIA,n/a,n/a,ASIA,1,Federated States of Micronesia
gab,Gabon,GABON,1,MAF,MAF,MAF,MAF,MAF,MAF,MAF,1,Gabon
gbr,United Kingdom of Great Britain and Northern Ireland,UNITED KINGDOM,1,OECD,OECD,OECD,OECD,OECD,OECD,OECD,1,United Kingdom
geo,Georgia,GEORGIA,1,REF,REF,ASIA,REF,REF,MAF,REF,1,Georgia
gha,Ghana,GHANA,1,MAF,MAF,MAF,MAF,MAF,MAF,MAF,1,Ghana
gib,NA,GIBRALTAR,1,OECD,OECD,OECD,OECD,OECD,n/a,OECD,1,Gibraltar
gin,Guinea,GUINEA,1,MAF,MAF,MAF,MAF,MAF,MAF,MAF,1,Guinea
global,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Global
glp,Guadeloupe,GUADELOUPE,1,LAM,LAM,LAM,LAM,LAM,LAM,LAM,1,Guadeloupe
gmb,Gambia,GAMBIA,1,MAF,MAF,MAF,MAF,MAF,MAF,MAF,1,Gambia
gnb,Guinea-Bissau,GUINEA-BISSAU,1,MAF,MAF,MAF,MAF,MAF,MAF,MAF,1,Guinea-Bissau
gnq,Equatorial Guinea,EQUATORIAL GUINEA,1,MAF,MAF,MAF,MAF,LAM,MAF,MAF,1,Equatorial Guinea
grc,Greece,GREECE,1,OECD,OECD,OECD,OECD,OECD,OECD,OECD,1,Greece
grd,Grenada,GRENADA,1,LAM,LAM,LAM,LAM,n/a,LAM,LAM,1,Grenada
grl,NA,GREENLAND,1,OECD,LAM,OECD,OECD,OECD,n/a,OECD,1,Greenland
gtm,Guatemala,GUATEMALA,1,LAM,LAM,LAM,LAM,LAM,LAM,LAM,1,Guatemala
guf,French Guiana,FRENCH GUIANA,1,LAM,LAM,LAM,LAM,n/a,LAM,LAM,1,French Guiana
gum,Guam,GUAM,1,OECD,ASIA,ASIA,OECD,OECD,n/a,ASIA,1,Guam
guy,Guyana,GUYANA,1,LAM,LAM,LAM,LAM,LAM,LAM,LAM,1,Guyana
hkg,"China, Hong Kong Special Administrative Region",HONG KONG,1,ASIA,ASIA,ASIA,ASIA,ASIA,ASIA,ASIA,1,"Hong Kong, China"
hnd,Honduras,HONDURAS,1,LAM,LAM,LAM,LAM,LAM,LAM,LAM,1,Honduras
hrv,Croatia,CROATIA,1,OECD,OECD,OECD,OECD,OECD,OECD,REF,1,Croatia
hti,Haiti,HAITI,1,LAM,LAM,LAM,LAM,LAM,LAM,LAM,1,Haiti
hun,Hungary,HUNGARY,1,OECD,OECD,OECD,OECD,OECD,OECD,OECD,1,Hungary
idn,Indonesia,INDONESIA,1,ASIA,ASIA,ASIA,ASIA,ASIA,ASIA,ASIA,1,Indonesia
ind,India,INDIA,1,ASIA,ASIA,ASIA,ASIA,ASIA,ASIA,ASIA,1,India
irl,Ireland,IRELAND,1,OECD,OECD,OECD,OECD,OECD,OECD,OECD,1,Ireland
irn,Iran (Islamic Republic of),"IRAN, ISLAMIC REPUBLIC OF",1,MAF,MAF,MAF,MAF,MAF,MAF,MAF,1,Islamic Republic of Iran
irq,Iraq,IRAQ,1,MAF,MAF,MAF,MAF,MAF,MAF,MAF,1,Iraq
isl,Iceland,ICELAND,1,OECD,OECD,OECD,OECD,OECD,OECD,OECD,1,Iceland
isr,Israel,ISRAEL,1,MAF,MAF,MAF,MAF,MAF,MAF,MAF,1,Israel
ita,Italy,ITALY,1,OECD,OECD,OECD,OECD,OECD,OECD,OECD,1,Italy
jam,Jamaica,JAMAICA,1,LAM,LAM,LAM,LAM,LAM,LAM,LAM,1,Jamaica
jor,Jordan,JORDAN,1,MAF,MAF,MAF,MAF,MAF,MAF,MAF,1,Jordan
jpn,Japan,JAPAN,1,OECD,OECD,OECD,OECD,OECD,OECD,OECD,1,Japan
kaz,Kazakhstan,KAZAKSTAN,1,REF,REF,ASIA,REF,REF,MAF,REF,1,Kazakhstan
ken,Kenya,KENYA,1,MAF,MAF,MAF,MAF,MAF,MAF,MAF,1,Kenya
kgz,Kyrgyzstan,KYRGYZSTAN,1,REF,REF,ASIA,REF,REF,MAF,REF,1,Kyrgyzstan
khm,Cambodia,CAMBODIA,1,ASIA,ASIA,ASIA,ASIA,ASIA,ASIA,ASIA,1,Cambodia
kir,Kiribati,NA,0,NA,NA,NA,NA,NA,NA,NA,1,Kiribati
kna,Saint Kitts and Nevis,NA,0,NA,NA,NA,NA,NA,NA,NA,1,Saint Kitts and Nevis
kor,Republic of Korea,"KOREA, DEMOCRATIC PEOPLE'S REPUBLIC OF",1,ASIA,ASIA,ASIA,ASIA,ASIA,ASIA,ASIA,1,Republic of Korea
kwt,Kuwait,KUWAIT,1,MAF,MAF,MAF,MAF,MAF,MAF,MAF,1,Kuwait
lao,Lao People`s Democratic Republic,LAO PEOPLE'S DEMOCRATIC REPUBLIC,1,ASIA,ASIA,ASIA,ASIA,ASIA,ASIA,ASIA,1,Laos
lbn,Lebanon,LEBANON,1,MAF,MAF,MAF,MAF,MAF,MAF,MAF,1,Lebanon
lbr,Liberia,LIBERIA,1,MAF,MAF,MAF,MAF,MAF,MAF,MAF,1,Liberia
lby,Libyan Arab Jamahiriya,LIBYAN ARAB JAMAHIRIYA,1,MAF,MAF,MAF,MAF,MAF,MAF,MAF,1,Libya
lca,Saint Lucia,NA,0,NA,NA,NA,NA,NA,NA,NA,1,Saint Lucia
lie,NA,LIECHTENSTEIN,1,OECD,OECD,OECD,OECD,OECD,n/a,OECD,1,Liechtenstein
lka,Sri Lanka,SRI LANKA,1,ASIA,ASIA,ASIA,ASIA,ASIA,ASIA,ASIA,1,Sri Lanka
lso,Lesotho,LESOTHO,1,MAF,MAF,MAF,MAF,MAF,MAF,MAF,1,Lesotho
ltu,Lithuania,LITHUANIA,1,OECD,OECD,OECD,OECD,OECD,OECD,OECD,1,Lithuania
lux,Luxembourg,LUXEMBOURG,1,OECD,OECD,OECD,OECD,OECD,OECD,OECD,1,Luxembourg
lva,Latvia,LATVIA,1,OECD,OECD,OECD,OECD,OECD,OECD,OECD,1,Latvia
mac,"China, Macao Special Administrative Region",MACAU,1,ASIA,n/a,ASIA,ASIA,ASIA,n/a,ASIA,1,Macao
mar,Morocco,MOROCCO,1,MAF,MAF,MAF,MAF,MAF,MAF,MAF,1,Morocco
mda,Republic of Moldova,"MOLDOVA, REPUBLIC OF",1,REF,REF,OECD,REF,REF,OECD,REF,1,Moldova
mdg,Madagascar,MADAGASCAR,1,MAF,MAF,MAF,MAF,MAF,MAF,MAF,1,Madagascar
mdv,Maldives,MALDIVES,1,ASIA,ASIA,ASIA,ASIA,ASIA,ASIA,ASIA,1,Maldives
mex,Mexico,MEXICO,1,LAM,LAM,LAM,LAM,LAM,LAM,LAM,1,Mexico
mhl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Marshall Islands
mkd,The former Yugoslav Republic of Macedonia,"MACEDONIA, THE FORMER YUGOSLAV REPUBLIC OF",1,OECD,OECD,OECD,OECD,OECD,OECD,REF,1,Macedonia
mli,Mali,MALI,1,MAF,MAF,MAF,MAF,MAF,MAF,MAF,1,Mali
mlt,Malta,MALTA,1,OECD,OECD,OECD,OECD,OECD,OECD,MAF,1,Malta
mmr,Myanmar,MYANMAR,1,ASIA,ASIA,ASIA,ASIA,ASIA,ASIA,ASIA,1,Myanmar (Burma)
mne,Montenegro,MONTENEGRO,1,OECD,OECD,n/a,OECD,OECD,OECD,REF,1,Montenegro
mng,Mongolia,MONGOLIA,1,ASIA,ASIA,ASIA,ASIA,ASIA,ASIA,ASIA,1,Mongolia
moz,Mozambique,MOZAMBIQUE,1,MAF,MAF,MAF,MAF,MAF,MAF,MAF,1,Mozambique
mrt,Mauritania,MAURITANIA,1,MAF,MAF,MAF,MAF,MAF,MAF,MAF,1,Mauritania
msr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Montserrat
mtq,Martinique,MARTINIQUE,1,LAM,LAM,LAM,LAM,LAM,MAF,LAM,1,Martinique
mus,Mauritius,MAURITIUS,1,MAF,MAF,MAF,MAF,MAF,MAF,MAF,1,Mauritius
mwi,Malawi,MALAWI,1,MAF,MAF,MAF,MAF,MAF,MAF,MAF,1,Malawi
mys,Malaysia,MALAYSIA,1,ASIA,ASIA,ASIA,ASIA,ASIA,ASIA,ASIA,1,Malaysia
myt,Mayotte,MAYOTTE,1,MAF,MAF,ASIA,MAF,n/a,n/a,MAF,0,NA
NA,NA,SAN MARINO,1,OECD,OECD,OECD,OECD,OECD,n/a,OECD,0,NA
NA,NA,FRENCH SOUTHERN TERRITORIES,1,OECD,ASIA,n/a,OECD,OECD,n/a,n/a,0,NA
NA,NA,MONACO,1,OECD,OECD,OECD,OECD,OECD,n/a,OECD,0,NA
nam,Namibia,NAMIBIA,1,MAF,MAF,MAF,MAF,MAF,MAF,MAF,1,Namibia
ncl,New Caledonia,NEW CALEDONIA,1,ASIA,ASIA,ASIA,ASIA,ASIA,ASIA,ASIA,1,New Caledonia
ner,Niger,NIGER,1,MAF,MAF,MAF,MAF,MAF,MAF,MAF,1,Niger
nga,Nigeria,NIGERIA,1,MAF,MAF,MAF,MAF,MAF,MAF,MAF,1,Nigeria
nic,Nicaragua,NICARAGUA,1,LAM,LAM,LAM,LAM,LAM,LAM,LAM,1,Nicaragua
niu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Niue
nld,Netherlands,NETHERLANDS,1,OECD,OECD,OECD,OECD,OECD,OECD,OECD,1,Netherlands
nor,Norway,NORWAY,1,OECD,OECD,OECD,OECD,OECD,OECD,OECD,1,Norway
npl,Nepal,NEPAL,1,ASIA,ASIA,ASIA,ASIA,ASIA,ASIA,ASIA,1,Nepal
nzl,New Zealand,NEW ZEALAND,1,OECD,OECD,OECD,OECD,OECD,OECD,OECD,1,New Zealand
omn,Oman,OMAN,1,MAF,MAF,MAF,MAF,MAF,MAF,MAF,1,Oman
pak,Pakistan,PAKISTAN,1,ASIA,ASIA,ASIA,ASIA,ASIA,ASIA,ASIA,1,Pakistan
pan,Panama,PANAMA,1,LAM,LAM,LAM,LAM,LAM,LAM,LAM,1,Panama
per,Peru,PERU,1,LAM,LAM,LAM,LAM,LAM,LAM,LAM,1,Peru
phl,Philippines,PHILIPPINES,1,ASIA,ASIA,ASIA,ASIA,ASIA,ASIA,ASIA,1,Philippines
plw,Palau,NA,0,NA,NA,NA,NA,NA,NA,NA,1,Palau
png,Papua New Guinea,PAPUA NEW GUINEA,1,ASIA,ASIA,ASIA,ASIA,ASIA,ASIA,ASIA,1,Papua New Guinea
pol,Poland,POLAND,1,OECD,OECD,OECD,OECD,OECD,OECD,OECD,1,Poland
pri,Puerto Rico,PUERTO RICO,1,OECD,LAM,OECD,OECD,OECD,OECD,LAM,1,Puerto Rico
prk,Democratic People`s Republic of Korea,"KOREA, REPUBLIC OF",1,ASIA,ASIA,ASIA,ASIA,ASIA,ASIA,OECD,1,Democratic Peoples Republic of Korea
prt,Portugal,PORTUGAL,1,OECD,OECD,OECD,OECD,OECD,OECD,OECD,1,Portugal
pry,Paraguay,PARAGUAY,1,LAM,LAM,LAM,LAM,LAM,LAM,LAM,1,Paraguay
pse,Occupied Palestinian Territory,OCCUPIED PALESTINIAN TERRITORY,1,MAF,n/a,n/a,MAF,n/a,n/a,n/a,1,Palestine
pyf,French Polynesia,FRENCH POLYNESIA,1,ASIA,ASIA,ASIA,ASIA,ASIA,n/a,ASIA,1,French Polynesia
qat,Qatar,QATAR,1,MAF,MAF,MAF,MAF,MAF,MAF,MAF,1,Qatar
reu,Réunion,RÉUNION,1,MAF,MAF,MAF,MAF,MAF,MAF,MAF,1,Reunion
rou,Romania,ROMANIA,1,OECD,OECD,n/a,OECD,OECD,OECD,OECD,1,Romania
rus,Russian Federation,RUSSIAN FEDERATION,1,REF,REF,REF,REF,REF,REF,REF,1,Russia
rwa,Rwanda,RWANDA,1,MAF,MAF,MAF,MAF,MAF,MAF,MAF,1,Rwanda
sau,Saudi Arabia,SAUDI ARABIA,1,MAF,MAF,MAF,MAF,MAF,MAF,MAF,1,Saudi Arabia
scg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Serbia and Montenegro
sdn,Sudan,SUDAN,1,MAF,MAF,MAF,MAF,MAF,MAF,MAF,1,Sudan
sen,Senegal,SENEGAL,1,MAF,MAF,MAF,MAF,MAF,MAF,MAF,1,Senegal
sgp,Singapore,SINGAPORE,1,ASIA,ASIA,ASIA,ASIA,ASIA,ASIA,ASIA,1,Singapore
slb,Solomon Islands,SOLOMON ISLANDS,1,ASIA,ASIA,ASIA,ASIA,ASIA,ASIA,ASIA,1,Soloman Islands
sle,Sierra Leone,SIERRA LEONE,1,MAF,MAF,MAF,MAF,MAF,MAF,MAF,1,Sierra Leone
