iso,country_name,region,region_name
abw,Aruba,RCAM,Rest C. America
afg,Afghanistan,RSAS,Rest S. Asia
ago,Angola,RSAF,Rest S. Africa
alb,Albania,CEU,C. Europe
are,United Arab Emirates,ME,Middle East
arg,Argentina,RSAM,Rest S. America
arm,Armenia,RUS,Russia
asm,American Samoa,OCE,Oceania
atg,Antigua & Barbuda,RCAM,Rest C. America
aus,Australia,OCE,Oceania
aut,Austria,WEU,W. Europe
aze,Azerbaijan,RUS,Russia
bdi,Burundi,EAF,E. Africa
bel,Belgium,WEU,W. Europe
ben,Benin,WAF,W. Africa
bfa,Burkina Faso,WAF,W. Africa
bgd,Bangladesh,RSAS,Rest S. Asia
bgr,Bulgaria,CEU,C. Europe
bhr,Bahrain,ME,Middle East
bhs,Bahamas,RCAM,Rest C. America
bih,Bosnia and Herzegovina,CEU,C. Europe
blr,Belarus,UKR,Ukraine region
blz,Belize,RCAM,Rest C. America
bmu,Bermuda,RCAM,Rest C. America
bol,Bolivia,RSAM,Rest S. America
bra,Brazil,BRA,Brazil
brb,Barbados,RCAM,Rest C. America
brn,Brunei Darussalam,SEAS,SE. Asia
btn,Bhutan,RSAS,Rest S. Asia
bwa,Botswana,RSAF,Rest S. Africa
caf,Central African Republic,WAF,W. Africa
can,Canada,CAN,Canada
che,Switzerland,WEU,W. Europe
chl,Chile,RSAM,Rest S. America
chn,China,CHN,China
civ,Cote dIvoire,WAF,W. Africa
cmr,Cameroon,WAF,W. Africa
cod,"Congo, the Democratic Republic of the",WAF,W. Africa
cog,Congo,WAF,W. Africa
cok,Cook Islands,OCE,Oceania
col,Colombia,RSAM,Rest S. America
com,Comoros,EAF,E. Africa
cpv,Cape Verde,WAF,W. Africa
cri,Costa Rica,RCAM,Rest C. America
cub,Cuba,RCAM,Rest C. America
cuw,Curacao,RCAM,Rest C. America
cym,Cayman Islands,RCAM,Rest C. America
cyp,Cyprus,CEU,C. Europe
cze,Czech Republic,CEU,C. Europe
deu,Germany,WEU,W. Europe
dji,Djibouti,EAF,E. Africa
dma,Dominica,RCAM,Rest C. America
dnk,Denmark,WEU,W. Europe
dom,Dominican Republic,RCAM,Rest C. America
dza,Algeria,NAF,N. Africa
ecu,Ecuador,RSAM,Rest S. America
egy,Egypt,NAF,N. Africa
eri,Eritrea,EAF,E. Africa
esh,Western Sahara,NAF,N. Africa
esp,Spain,WEU,W. Europe
est,Estonia,CEU,C. Europe
eth,Ethiopia,EAF,E. Africa
fin,Finland,WEU,W. Europe
fji,Fiji,OCE,Oceania
flk,Falkland Islands (Malvinas),RSAM,Rest S. America
fra,France,WEU,W. Europe
fro,Faroe Islands,WEU,W. Europe
fsm,"Micronesia, Federated States of",OCE,Oceania
gab,Gabon,WAF,W. Africa
gbr,United Kingdom,WEU,W. Europe
geo,Georgia,RUS,Russia
gha,Ghana,WAF,W. Africa
gib,Gibraltar,WEU,W. Europe
gin,Guinea,WAF,W. Africa
glp,Guadeloupe,RCAM,Rest C. America
gmb,Gambia,WAF,W. Africa
gnb,Guinea-Bissau,WAF,W. Africa
gnq,Equatorial Guinea,WAF,W. Africa
grc,Greece,WEU,W. Europe
grd,Grenada,RCAM,Rest C. America
grl,Greenland,RSAF,Rest S. Africa
gtm,Guatemala,RCAM,Rest C. America
guf,French Guiana,RSAM,Rest S. America
gum,Guam,USA,USA
guy,Guyana,RSAM,Rest S. America
hkg,Hong Kong,CHN,China
hnd,Honduras,RCAM,Rest C. America
hrv,Croatia,CEU,C. Europe
hti,Haiti,RCAM,Rest C. America
hun,Hungary,CEU,C. Europe
idn,Indonesia,INDO,Indonesia
ind,India,INDIA,India
irl,Ireland,WEU,W. Europe
irn,"Iran, Islamic Republic of",ME,Middle East
irq,Iraq,ME,Middle East
isl,Iceland,WEU,W. Europe
isr,Israel,ME,Middle East
ita,Italy,WEU,W. Europe
jam,Jamaica,RCAM,Rest C. America
jor,Jordan,ME,Middle East
jpn,Japan,JAP,Japan
kaz,Kazakhstan,STAN,Kazakhstan region
ken,Kenya,EAF,E. Africa
kgz,Kyrgyzstan,STAN,Kazakhstan region
khm,Cambodia,SEAS,SE. Asia
kir,Kiribati,OCE,Oceania
kna,Saint Kitts and Nevis,RCAM,Rest C. America
kor,"Korea, Republic of",KOR,Korea
kwt,Kuwait,ME,Middle East
lao,Lao Peoples Democratic Republic,SEAS,SE. Asia
lbn,Lebanon,ME,Middle East
lbr,Liberia,WAF,W. Africa
lby,Libyan Arab Jamahiriya,NAF,N. Africa
lca,Saint Lucia,RCAM,Rest C. America
lie,Liechtenstein,WEU,W. Europe
lka,Sri Lanka,RSAS,Rest S. Asia
lso,Lesotho,RSAF,Rest S. Africa
ltu,Lithuania,CEU,C. Europe
lux,Luxembourg,WEU,W. Europe
lva,Latvia,CEU,C. Europe
mac,Macau,CHN,China
mar,Morocco,NAF,N. Africa
mda,"Moldova, Republic of",UKR,Ukraine region
mdg,Madagascar,EAF,E. Africa
mdv,Maldives,RSAS,Rest S. Asia
mex,Mexico,MEX,Mexico
mhl,Marshall Islands,OCE,Oceania
mkd,"Macedonia, the former Yugoslav Republic of",CEU,C. Europe
mli,Mali,WAF,W. Africa
mlt,Malta,WEU,W. Europe
mmr,Myanmar,SEAS,SE. Asia
mne,Montenegro,CEU,C. Europe
mng,Mongolia,CHN,China
moz,Mozambique,RSAF,Rest S. Africa
mrt,Mauritania,WAF,W. Africa
msr,Montserrat,RCAM,Rest C. America
mtq,Martinique,RCAM,Rest C. America
