iso,country_name,region,R5
abw,Aruba,LAM,LAM
afg,Afghanistan,OAS,ASIA
ago,Angola,AFR,MAF
alb,Albania,ROW,OECD
are,United Arab Emirates,MEA,MAF
arg,Argentina,LAM,LAM
arm,Armenia,MEA,REF
asm,American Samoa,OAS,
atg,Antigua & Barbuda,LAM,LAM
aus,Australia,ROW,OECD
aut,Austria,EUR,OECD
aze,Azerbaijan,MEA,REF
bdi,Burundi,AFR,MAF
bel,Belgium,EUR,OECD
ben,Benin,AFR,MAF
bfa,Burkina Faso,AFR,MAF
bgd,Bangladesh,OAS,ASIA
bgr,Bulgaria,EUR,OECD
bhr,Bahrain,MEA,MAF
bhs,Bahamas,LAM,LAM
bih,Bosnia and Herzegovina,ROW,OECD
blr,Belarus,ROW,REF
blz,Belize,LAM,LAM
bmu,Bermuda,LAM,LAM
bol,Bolivia,LAM,LAM
bra,Brazil,LAM,LAM
brb,Barbados,LAM,LAM
brn,Brunei Darussalam,OAS,ASIA
btn,Bhutan,OAS,ASIA
bwa,Botswana,AFR,MAF
caf,Central African Republic,AFR,MAF
can,Canada,ROW,OECD
che,Switzerland,ROW,OECD
chl,Chile,LAM,LAM
chn,China,CHN,ASIA
civ,Cote dIvoire,AFR,MAF
cmr,Cameroon,AFR,MAF
cod,"Congo, the Democratic Republic of the",AFR,MAF
cog,Congo,AFR,MAF
cok,Cook Islands,OAS,
col,Colombia,LAM,LAM
com,Comoros,AFR,MAF
cpv,Cape Verde,AFR,MAF
cri,Costa Rica,LAM,LAM
cub,Cuba,LAM,LAM
cuw,Curacao,LAM,
cym,Cayman Islands,LAM,
cyp,Cyprus,EUR,OECD
cze,Czech Republic,EUR,OECD
deu,Germany,EUR,OECD
dji,Djibouti,AFR,MAF
dma,Dominica,LAM,
dnk,Denmark,EUR,OECD
dom,Dominican Republic,LAM,LAM
dza,Algeria,MEA,MAF
ecu,Ecuador,LAM,LAM
egy,Egypt,MEA,MAF
eri,Eritrea,AFR,MAF
esh,Western Sahara,MEA,MAF
esp,Spain,EUR,OECD
est,Estonia,EUR,OECD
eth,Ethiopia,AFR,MAF
fin,Finland,EUR,OECD
fji,Fiji,OAS,ASIA
flk,Falkland Islands (Malvinas),LAM,LAM
fra,France,EUR,OECD
fro,Faroe Islands,EUR,OECD
fsm,"Micronesia, Federated States of",OAS,ASIA
gab,Gabon,AFR,MAF
gbr,United Kingdom,EUR,OECD
geo,Georgia,MEA,REF
gha,Ghana,AFR,MAF
gib,Gibraltar,EUR,OECD
gin,Guinea,AFR,MAF
glp,Guadeloupe,LAM,LAM
gmb,Gambia,AFR,MAF
gnb,Guinea-Bissau,AFR,MAF
gnq,Equatorial Guinea,AFR,MAF
