iso,GCAM_region_ID,country_name,region
pri,1,Puerto Rico,USA
usa,1,United States of America,USA
vir,1,"Virgin Islands, U.S.",USA
ssd,2,South Sudan,Africa_Eastern
bdi,2,Burundi,Africa_Eastern
com,2,Comoros,Africa_Eastern
dji,2,Djibouti,Africa_Eastern
eri,2,Eritrea,Africa_Eastern
eth,2,Ethiopia,Africa_Eastern
ken,2,Kenya,Africa_Eastern
mdg,2,Madagascar,Africa_Eastern
mus,2,Mauritius,Africa_Eastern
reu,2,Reunion,Africa_Eastern
rwa,2,Rwanda,Africa_Eastern
sdn,2,Sudan,Africa_Eastern
som,2,Somalia,Africa_Eastern
uga,2,Uganda,Africa_Eastern
dza,3,Algeria,Africa_Northern
egy,3,Egypt,Africa_Northern
esh,3,Western Sahara,Africa_Northern
lby,3,Libyan Arab Jamahiriya,Africa_Northern
mar,3,Morocco,Africa_Northern
tun,3,Tunisia,Africa_Northern
ago,4,Angola,Africa_Southern
bwa,4,Botswana,Africa_Southern
lso,4,Lesotho,Africa_Southern
moz,4,Mozambique,Africa_Southern
mwi,4,Malawi,Africa_Southern
nam,4,Namibia,Africa_Southern
swz,4,Swaziland,Africa_Southern
tza,4,"Tanzania, United Republic of",Africa_Southern
zmb,4,Zambia,Africa_Southern
zwe,4,Zimbabwe,Africa_Southern
ben,5,Benin,Africa_Western
bfa,5,Burkina Faso,Africa_Western
caf,5,Central African Republic,Africa_Western
civ,5,Cote dIvoire,Africa_Western
cmr,5,Cameroon,Africa_Western
cod,5,"Congo, the Democratic Republic of the",Africa_Western
cog,5,Congo,Africa_Western
cpv,5,Cape Verde,Africa_Western
gab,5,Gabon,Africa_Western
gha,5,Ghana,Africa_Western
gin,5,Guinea,Africa_Western
gmb,5,Gambia,Africa_Western
gnb,5,Guinea-Bissau,Africa_Western
gnq,5,Equatorial Guinea,Africa_Western
lbr,5,Liberia,Africa_Western
mli,5,Mali,Africa_Western
mrt,5,Mauritania,Africa_Western
ner,5,Niger,Africa_Western
nga,5,Nigeria,Africa_Western
sen,5,Senegal,Africa_Western
sle,5,Sierra Leone,Africa_Western
stp,5,Sao Tome and Principe,Africa_Western
tcd,5,Chad,Africa_Western
tgo,5,Togo,Africa_Western
aus,6,Australia,Australia_NZ
nzl,6,New Zealand,Australia_NZ
bra,7,Brazil,Brazil
can,8,Canada,Canada
