"em","sector","year","proxy","proxy_backup"
"BC","Agriculture",2015,"BC_2015_AGR","population_2015"
"BC","Agriculture",2016,"BC_2015_AGR","population_2015"
"BC","Agriculture",2017,"BC_2015_AGR","population_2015"
"BC","Agriculture",2018,"BC_2015_AGR","population_2015"
"BC","Agriculture",2019,"BC_2015_AGR","population_2015"
"BC","Agriculture",2020,"BC_2015_AGR","population_2015"
"BC","Agriculture",2021,"BC_2015_AGR","population_2015"
"BC","Agriculture",2022,"BC_2015_AGR","population_2015"
"BC","Agriculture",2023,"BC_2015_AGR","population_2015"
"BC","Agriculture",2024,"BC_2015_AGR","population_2015"
"BC","Agriculture",2025,"BC_2015_AGR","population_2015"
"BC","Agriculture",2026,"BC_2015_AGR","population_2015"
"BC","Agriculture",2027,"BC_2015_AGR","population_2015"
"BC","Agriculture",2028,"BC_2015_AGR","population_2015"
"BC","Agriculture",2029,"BC_2015_AGR","population_2015"
"BC","Agriculture",2030,"BC_2015_AGR","population_2015"
"BC","Agriculture",2031,"BC_2015_AGR","population_2015"
"BC","Agriculture",2032,"BC_2015_AGR","population_2015"
"BC","Agriculture",2033,"BC_2015_AGR","population_2015"
"BC","Agriculture",2034,"BC_2015_AGR","population_2015"
"BC","Agriculture",2035,"BC_2015_AGR","population_2015"
"BC","Agriculture",2036,"BC_2015_AGR","population_2015"
"BC","Agriculture",2037,"BC_2015_AGR","population_2015"
"BC","Agriculture",2038,"BC_2015_AGR","population_2015"
"BC","Agriculture",2039,"BC_2015_AGR","population_2015"
"BC","Agriculture",2040,"BC_2015_AGR","population_2015"
"BC","Agriculture",2041,"BC_2015_AGR","population_2015"
"BC","Agriculture",2042,"BC_2015_AGR","population_2015"
"BC","Agriculture",2043,"BC_2015_AGR","population_2015"
"BC","Agriculture",2044,"BC_2015_AGR","population_2015"
"BC","Agriculture",2045,"BC_2015_AGR","population_2015"
"BC","Agriculture",2046,"BC_2015_AGR","population_2015"
"BC","Agriculture",2047,"BC_2015_AGR","population_2015"
"BC","Agriculture",2048,"BC_2015_AGR","population_2015"
"BC","Agriculture",2049,"BC_2015_AGR","population_2015"
"BC","Agriculture",2050,"BC_2015_AGR","population_2015"
"BC","Agriculture",2051,"BC_2015_AGR","population_2015"
"BC","Agriculture",2052,"BC_2015_AGR","population_2015"
"BC","Agriculture",2053,"BC_2015_AGR","population_2015"
"BC","Agriculture",2054,"BC_2015_AGR","population_2015"
"BC","Agriculture",2055,"BC_2015_AGR","population_2015"
"BC","Agriculture",2056,"BC_2015_AGR","population_2015"
"BC","Agriculture",2057,"BC_2015_AGR","population_2015"
"BC","Agriculture",2058,"BC_2015_AGR","population_2015"
"BC","Agriculture",2059,"BC_2015_AGR","population_2015"
"BC","Agriculture",2060,"BC_2015_AGR","population_2015"
"BC","Agriculture",2061,"BC_2015_AGR","population_2015"
"BC","Agriculture",2062,"BC_2015_AGR","population_2015"
"BC","Agriculture",2063,"BC_2015_AGR","population_2015"
"BC","Agriculture",2064,"BC_2015_AGR","population_2015"
"BC","Agriculture",2065,"BC_2015_AGR","population_2015"
"BC","Agriculture",2066,"BC_2015_AGR","population_2015"
"BC","Agriculture",2067,"BC_2015_AGR","population_2015"
"BC","Agriculture",2068,"BC_2015_AGR","population_2015"
"BC","Agriculture",2069,"BC_2015_AGR","population_2015"
"BC","Agriculture",2070,"BC_2015_AGR","population_2015"
"BC","Agriculture",2071,"BC_2015_AGR","population_2015"
"BC","Agriculture",2072,"BC_2015_AGR","population_2015"
"BC","Agriculture",2073,"BC_2015_AGR","population_2015"
"BC","Agriculture",2074,"BC_2015_AGR","population_2015"
"BC","Agriculture",2075,"BC_2015_AGR","population_2015"
"BC","Agriculture",2076,"BC_2015_AGR","population_2015"
"BC","Agriculture",2077,"BC_2015_AGR","population_2015"
"BC","Agriculture",2078,"BC_2015_AGR","population_2015"
"BC","Agriculture",2079,"BC_2015_AGR","population_2015"
"BC","Agriculture",2080,"BC_2015_AGR","population_2015"
"BC","Agriculture",2081,"BC_2015_AGR","population_2015"
"BC","Agriculture",2082,"BC_2015_AGR","population_2015"
"BC","Agriculture",2083,"BC_2015_AGR","population_2015"
"BC","Agriculture",2084,"BC_2015_AGR","population_2015"
"BC","Agriculture",2085,"BC_2015_AGR","population_2015"
"BC","Agriculture",2086,"BC_2015_AGR","population_2015"
"BC","Agriculture",2087,"BC_2015_AGR","population_2015"
"BC","Agriculture",2088,"BC_2015_AGR","population_2015"
"BC","Agriculture",2089,"BC_2015_AGR","population_2015"
"BC","Agriculture",2090,"BC_2015_AGR","population_2015"
"BC","Agriculture",2091,"BC_2015_AGR","population_2015"
"BC","Agriculture",2092,"BC_2015_AGR","population_2015"
"BC","Agriculture",2093,"BC_2015_AGR","population_2015"
"BC","Agriculture",2094,"BC_2015_AGR","population_2015"
"BC","Agriculture",2095,"BC_2015_AGR","population_2015"
"BC","Agriculture",2096,"BC_2015_AGR","population_2015"
"BC","Agriculture",2097,"BC_2015_AGR","population_2015"
"BC","Agriculture",2098,"BC_2015_AGR","population_2015"
"BC","Agriculture",2099,"BC_2015_AGR","population_2015"
"BC","Agriculture",2100,"BC_2015_AGR","population_2015"
"BC","Forest Burning",2015,"BC_2015_FRTB","population_2015"
"BC","Forest Burning",2016,"BC_2015_FRTB","population_2015"
"BC","Forest Burning",2017,"BC_2015_FRTB","population_2015"
"BC","Forest Burning",2018,"BC_2015_FRTB","population_2015"
"BC","Forest Burning",2019,"BC_2015_FRTB","population_2015"
"BC","Forest Burning",2020,"BC_2015_FRTB","population_2015"
"BC","Forest Burning",2021,"BC_2015_FRTB","population_2015"
"BC","Forest Burning",2022,"BC_2015_FRTB","population_2015"
"BC","Forest Burning",2023,"BC_2015_FRTB","population_2015"
"BC","Forest Burning",2024,"BC_2015_FRTB","population_2015"
"BC","Forest Burning",2025,"BC_2015_FRTB","population_2015"
"BC","Forest Burning",2026,"BC_2015_FRTB","population_2015"
"BC","Forest Burning",2027,"BC_2015_FRTB","population_2015"
"BC","Forest Burning",2028,"BC_2015_FRTB","population_2015"
"BC","Forest Burning",2029,"BC_2015_FRTB","population_2015"
"BC","Forest Burning",2030,"BC_2015_FRTB","population_2015"
"BC","Forest Burning",2031,"BC_2015_FRTB","population_2015"
"BC","Forest Burning",2032,"BC_2015_FRTB","population_2015"
"BC","Forest Burning",2033,"BC_2015_FRTB","population_2015"
"BC","Forest Burning",2034,"BC_2015_FRTB","population_2015"
"BC","Forest Burning",2035,"BC_2015_FRTB","population_2015"
"BC","Forest Burning",2036,"BC_2015_FRTB","population_2015"
"BC","Forest Burning",2037,"BC_2015_FRTB","population_2015"
"BC","Forest Burning",2038,"BC_2015_FRTB","population_2015"
"BC","Forest Burning",2039,"BC_2015_FRTB","population_2015"
"BC","Forest Burning",2040,"BC_2015_FRTB","population_2015"
"BC","Forest Burning",2041,"BC_2015_FRTB","population_2015"
"BC","Forest Burning",2042,"BC_2015_FRTB","population_2015"
"BC","Forest Burning",2043,"BC_2015_FRTB","population_2015"
"BC","Forest Burning",2044,"BC_2015_FRTB","population_2015"
"BC","Forest Burning",2045,"BC_2015_FRTB","population_2015"
"BC","Forest Burning",2046,"BC_2015_FRTB","population_2015"
"BC","Forest Burning",2047,"BC_2015_FRTB","population_2015"
"BC","Forest Burning",2048,"BC_2015_FRTB","population_2015"
"BC","Forest Burning",2049,"BC_2015_FRTB","population_2015"
"BC","Forest Burning",2050,"BC_2015_FRTB","population_2015"
"BC","Forest Burning",2051,"BC_2015_FRTB","population_2015"
"BC","Forest Burning",2052,"BC_2015_FRTB","population_2015"
"BC","Forest Burning",2053,"BC_2015_FRTB","population_2015"
"BC","Forest Burning",2054,"BC_2015_FRTB","population_2015"
"BC","Forest Burning",2055,"BC_2015_FRTB","population_2015"
"BC","Forest Burning",2056,"BC_2015_FRTB","population_2015"
"BC","Forest Burning",2057,"BC_2015_FRTB","population_2015"
"BC","Forest Burning",2058,"BC_2015_FRTB","population_2015"
"BC","Forest Burning",2059,"BC_2015_FRTB","population_2015"
"BC","Forest Burning",2060,"BC_2015_FRTB","population_2015"
"BC","Forest Burning",2061,"BC_2015_FRTB","population_2015"
"BC","Forest Burning",2062,"BC_2015_FRTB","population_2015"
"BC","Forest Burning",2063,"BC_2015_FRTB","population_2015"
"BC","Forest Burning",2064,"BC_2015_FRTB","population_2015"
"BC","Forest Burning",2065,"BC_2015_FRTB","population_2015"
"BC","Forest Burning",2066,"BC_2015_FRTB","population_2015"
"BC","Forest Burning",2067,"BC_2015_FRTB","population_2015"
"BC","Forest Burning",2068,"BC_2015_FRTB","population_2015"
"BC","Forest Burning",2069,"BC_2015_FRTB","population_2015"
"BC","Forest Burning",2070,"BC_2015_FRTB","population_2015"
"BC","Forest Burning",2071,"BC_2015_FRTB","population_2015"
"BC","Forest Burning",2072,"BC_2015_FRTB","population_2015"
"BC","Forest Burning",2073,"BC_2015_FRTB","population_2015"
"BC","Forest Burning",2074,"BC_2015_FRTB","population_2015"
"BC","Forest Burning",2075,"BC_2015_FRTB","population_2015"
"BC","Forest Burning",2076,"BC_2015_FRTB","population_2015"
"BC","Forest Burning",2077,"BC_2015_FRTB","population_2015"
"BC","Forest Burning",2078,"BC_2015_FRTB","population_2015"
"BC","Forest Burning",2079,"BC_2015_FRTB","population_2015"
"BC","Forest Burning",2080,"BC_2015_FRTB","population_2015"
"BC","Forest Burning",2081,"BC_2015_FRTB","population_2015"
"BC","Forest Burning",2082,"BC_2015_FRTB","population_2015"
